490,Wyoming,56,1988,53.59,36.14
491,Alabama,1,1989,71,54.57
492,Arizona,4,1989,72.96,52.97
493,Arkansas,5,1989,68.28,50.91
494,California,6,1989,69.12,48.72
495,Colorado,8,1989,56.95,37.2
496,Connecticut,9,1989,55.43,41.89
497,Delaware,10,1989,60.67,48.2
498,District of Columbia,11,1989,62.32,46.18
499,Florida,12,1989,80.07,64.43
500,Georgia,13,1989,72.6,55.76
501,Idaho,16,1989,53.08,36.84
502,Illinois,17,1989,59.99,42.51
503,Indiana,18,1989,58.98,43.47
504,Iowa,19,1989,57.35,38.36
505,Kansas,20,1989,66,44.02
506,Kentucky,21,1989,62.75,47.04
507,Louisiana,22,1989,74.49,57.73
508,Maine,23,1989,47.68,32.87
509,Maryland,24,1989,60.19,46.01
510,Massachusetts,25,1989,53.46,40.13
511,Michigan,26,1989,50.16,36.34
512,Minnesota,27,1989,49.03,30.63
513,Mississippi,28,1989,71.17,54.57
514,Missouri,29,1989,63.25,44.52
515,Montana,30,1989,51.75,34.85
516,Nebraska,31,1989,61.14,39.47
517,Nevada,32,1989,60.5,42.27
518,New Hampshire,33,1989,49.02,35.3
519,New Jersey,34,1989,59,44.66
520,New Mexico,35,1989,67.8,47.27
521,New York,36,1989,51.08,37.4
522,North Carolina,37,1989,66.81,50.87
523,North Dakota,38,1989,50.82,31.62
524,Ohio,39,1989,57.61,42.84
525,Oklahoma,40,1989,69.54,48.89
526,Oregon,41,1989,56.16,39.8
527,Pennsylvania,42,1989,55.05,40.37
528,Rhode Island,44,1989,55.65,42.07
529,South Carolina,45,1989,71.38,54.87
530,South Dakota,46,1989,56.46,36.76
531,Tennessee,47,1989,64.73,49.07
532,Texas,48,1989,77.45,55.68
533,Utah,49,1989,59.71,42.39
534,Vermont,50,1989,48.3,34.69
535,Virginia,51,1989,62.78,46.67
536,Washington,53,1989,54.88,40.13
537,West Virginia,54,1989,58.56,43.7
538,Wisconsin,55,1989,50.47,33.14
539,Wyoming,56,1989,52.5,35.04
540,Alabama,1,1990,74.68,56.32
541,Arizona,4,1990,70.81,52.18
542,Arkansas,5,1990,71.87,53.81
543,California,6,1990,68.91,48.54
544,Colorado,8,1990,57.16,38.16
545,Connecticut,9,1990,58.33,44
546,Delaware,10,1990,63.34,50.16
547,District of Columbia,11,1990,65.96,48.3
548,Florida,12,1990,81.48,65.66
549,Georgia,13,1990,76,57.72
550,Idaho,16,1990,54.05,37.68
551,Illinois,17,1990,62.89,45.43
552,Indiana,18,1990,62.12,45.79
553,Iowa,19,1990,59.18,41.54
554,Kansas,20,1990,68.27,46.75
555,Kentucky,21,1990,66.28,49.23
556,Louisiana,22,1990,77.73,59.56
557,Maine,23,1990,50.15,35.4
558,Maryland,24,1990,63.43,48.18
559,Massachusetts,25,1990,56.46,42.48
560,Michigan,26,1990,52.57,38.74
561,Minnesota,27,1990,52.34,34.3
562,Mississippi,28,1990,74.99,56.45
563,Missouri,29,1990,66.43,47.68
564,Montana,30,1990,54.23,36.64
565,Nebraska,31,1990,63.44,42.27
566,Nevada,32,1990,60.62,42.71
567,New Hampshire,33,1990,52.2,38.13
568,New Jersey,34,1990,61.94,46.76
569,New Mexico,35,1990,66.29,46.82
570,New York,36,1990,54.07,40.28
571,North Carolina,37,1990,70.2,52.96
572,North Dakota,38,1990,54.62,35.13
573,Ohio,39,1990,60.75,45.09
574,Oklahoma,40,1990,72.49,51.54
575,Oregon,41,1990,57.24,40.47
576,Pennsylvania,42,1990,58.28,42.86
577,Rhode Island,44,1990,58.7,44
578,South Carolina,45,1990,74.88,56.87
579,South Dakota,46,1990,59.86,39.94
580,Tennessee,47,1990,68.46,51.64
581,Texas,48,1990,78.4,57.49
582,Utah,49,1990,59.7,42.88
583,Vermont,50,1990,51.36,37.66
584,Virginia,51,1990,66.33,48.96
585,Washington,53,1990,55.63,40.85
586,West Virginia,54,1990,62.06,46.21
587,Wisconsin,55,1990,52.58,36.37
588,Wyoming,56,1990,53.41,36.08
589,Alabama,1,1991,72.68,56.6
590,Arizona,4,1991,70.33,51.91
591,Arkansas,5,1991,70.83,54.28
592,California,6,1991,68.94,48.8
593,Colorado,8,1991,56.43,37.81
594,Connecticut,9,1991,58.61,44.15
595,Delaware,10,1991,64.1,50.36
596,District of Columbia,11,1991,66.76,48.84
597,Florida,12,1991,79.84,65.73
598,Georgia,13,1991,73.4,57.63
